,2,OC-OP,OC-XP,XC-OP,XC-XP
3,EY-a-a,0.0667,0.0444,0.0111,0.2333
3,EY-a-he,0.9444,0.8778,0.6,0.0556
3,EY-a-john,0.0,0.0,0.0111,0.0
3,EY-a-the,0.3,0.1333,0.1889,0.5444
3,EY-every-a,0.0,0.0,0.0,0.0556
3,EY-every-he,0.9444,0.8111,0.4,0.0
3,EY-every-john,0.0,0.0,0.0,0.0
3,EY-every-the,0.0,0.0111,0.0222,0.1556
3,EY-he-a,0.0,0.5889,0.2333,0.7444
3,EY-he-he,1.0,1.0,1.0,0.9889
3,EY-he-john,0.0111,0.7111,0.4333,0.7222
3,EY-he-the,0.0556,0.8889,0.7556,0.8889
3,EY-john-a,0.0,0.0,0.0,0.0
3,EY-john-he,0.9556,0.9444,0.8333,0.2111
3,EY-john-john,0.0222,0.1111,0.0,0.0
3,EY-john-the,0.1556,0.2,0.0,0.0222
3,EY-some-a,0.0111,0.0,0.0,0.1333
3,EY-some-he,0.9333,0.6556,0.3,0.0111
3,EY-some-john,0.0,0.0,0.0222,0.0
3,EY-some-the,0.0444,0.0111,0.1333,0.6444
3,EY-the-a,0.1444,0.3778,0.1222,0.3
3,EY-the-he,0.9556,0.8889,0.7222,0.1444
3,EY-the-john,0.0111,0.0111,0.0778,0.0111
3,EY-the-the,0.9667,0.9667,0.9667,0.9667
3,RY-a-a,0.1889,0.0111,0.0,0.1778
3,RY-a-he,0.7778,0.5778,0.1556,0.1111
3,RY-a-john,0.0,0.0,0.0111,0.0
3,RY-a-the,0.4111,0.0333,0.2222,0.4333
3,RY-every-a,0.0,0.0,0.0,0.0
3,RY-every-he,0.8444,0.5,0.0222,0.0111
3,RY-every-john,0.0,0.0,0.0,0.0
3,RY-every-the,0.0,0.0111,0.0222,0.0333
3,RY-he-a,0.0,0.5111,0.2,0.7333
3,RY-he-he,0.9444,0.9778,0.7667,0.9444
3,RY-he-john,0.0111,0.6667,0.5667,0.6889
3,RY-he-the,0.0778,0.7778,0.7111,0.8778
3,RY-john-a,0.0,0.0111,0.0,0.0
3,RY-john-he,0.5889,0.8333,0.5222,0.1222
3,RY-john-john,0.0556,0.0444,0.0556,0.0444
3,RY-john-the,0.0556,0.1444,0.0111,0.0
3,RY-some-a,0.0222,0.0,0.0,0.0778
3,RY-some-he,0.6667,0.2667,0.0222,0.0111
3,RY-some-john,0.0,0.0,0.0222,0.0
3,RY-some-the,0.0778,0.0,0.1778,0.3
3,RY-the-a,0.1222,0.2667,0.0,0.1556
3,RY-the-he,0.8556,0.6889,0.6333,0.3889
3,RY-the-john,0.0222,0.0111,0.1111,0.0444
3,RY-the-the,0.9667,0.9667,0.9667,0.9667
