,2,OC-OP,OC-XP,XC-OP,XC-XP
3,EY-a-a,0.3,0.1,0.16,0.3
3,EY-a-he,0.96,0.9,0.97,0.28
3,EY-a-john,0.0,0.0,0.0,0.0
3,EY-a-the,0.47,0.18,0.44,0.73
3,EY-every-a,0.0,0.0,0.0,0.14
3,EY-every-he,0.9,0.54,0.69,0.01
3,EY-every-john,0.0,0.0,0.0,0.01
3,EY-every-the,0.0,0.04,0.01,0.42
3,EY-he-a,0.0,0.69,0.43,0.91
3,EY-he-he,1.0,1.0,1.0,1.0
3,EY-he-john,0.29,0.9,0.93,0.93
3,EY-he-the,0.35,0.92,0.9,0.96
3,EY-john-a,0.01,0.0,0.0,0.0
3,EY-john-he,0.96,0.95,0.94,0.64
3,EY-john-john,0.0,0.09,0.07,0.01
3,EY-john-the,0.16,0.26,0.02,0.0
3,EY-some-a,0.07,0.0,0.0,0.27
3,EY-some-he,0.94,0.51,0.49,0.01
3,EY-some-john,0.0,0.0,0.0,0.0
3,EY-some-the,0.21,0.16,0.13,0.67
3,EY-the-a,0.4,0.18,0.16,0.28
3,EY-the-he,0.96,0.92,0.93,0.49
3,EY-the-john,0.01,0.03,0.0,0.02
3,EY-the-the,1.0,1.0,1.0,1.0
3,RY-a-a,0.21,0.08,0.1,0.31
3,RY-a-he,0.97,0.95,0.96,0.31
3,RY-a-john,0.01,0.0,0.02,0.07
3,RY-a-the,0.53,0.31,0.3,0.61
3,RY-every-a,0.0,0.0,0.0,0.03
3,RY-every-he,0.91,0.52,0.59,0.0
3,RY-every-john,0.0,0.0,0.0,0.07
3,RY-every-the,0.0,0.03,0.0,0.1
3,RY-he-a,0.0,0.89,0.79,0.95
3,RY-he-he,1.0,1.0,1.0,1.0
3,RY-he-john,0.12,0.94,0.97,0.97
3,RY-he-the,0.27,0.94,0.96,0.96
3,RY-john-a,0.0,0.0,0.0,0.0
3,RY-john-he,0.96,0.95,0.94,0.12
3,RY-john-john,0.03,0.08,0.07,0.07
3,RY-john-the,0.06,0.11,0.0,0.02
3,RY-some-a,0.0,0.01,0.0,0.25
3,RY-some-he,0.95,0.69,0.43,0.0
3,RY-some-john,0.0,0.0,0.0,0.03
3,RY-some-the,0.08,0.23,0.1,0.58
3,RY-the-a,0.24,0.15,0.17,0.37
3,RY-the-he,0.96,0.96,0.94,0.28
3,RY-the-john,0.02,0.03,0.1,0.17
3,RY-the-the,0.97,0.97,0.97,0.97
